time,on/off
0.500662088394165,1
1.0018913745880127,0
1.5032591819763184,1
2.0044665336608887,0
2.5057339668273926,1
3.0073466300964355,0
3.5085034370422363,1
4.00963568687439,0
4.565352439880371,1
5.066589117050171,0
5.56787633895874,1
6.069054365158081,0
7.070896148681641,0
8.073851108551025,0
8.575049877166748,1
9.076200246810913,0
9.577365159988403,1
10.07855772972107,0
10.57988452911377,1
11.112626075744629,0
11.613840818405151,1
12.115206003189087,0
12.616641521453857,1
13.118085622787476,0
13.619590282440186,1
14.120951652526855,0
14.622268676757812,1
15.123736143112183,0
15.624998331069946,1
16.126364707946777,0
16.627637147903442,1
17.1287784576416,0
17.629895448684692,1
18.131082773208618,0
18.632234811782837,1
19.133378744125366,0
19.63456892967224,1
20.1356999874115,0
20.636836767196655,1
21.137975692749023,0
21.639118432998657,1
22.140265464782715,0
22.641398191452026,1
23.14254403114319,0
23.64374303817749,1
24.144901037216187,0
24.646040678024292,1
25.14722180366516,0
25.64837336540222,1
26.149508476257324,0
26.650649547576904,1
27.151784896850586,0
27.65292525291443,1
28.153809309005737,0
28.654985427856445,1
29.15613031387329,0
29.657273292541504,1
30.158419132232666,0
30.659560441970825,1
31.160707235336304,0
31.66185688972473,1
32.163033962249756,0
32.6638400554657,1
33.16499447822571,0
33.66618466377258,1
34.16732144355774,0
34.66846418380737,1
35.16960000991821,0
35.67074489593506,1
36.1718955039978,0
36.67303776741028,1
37.173808574676514,0
37.674988746643066,1
38.176124811172485,0
38.67728018760681,1
39.17841625213623,0
39.67956018447876,1
40.180702447891235,0
40.681846380233765,1
41.18298888206482,0
41.683836460113525,1
42.184985399246216,0
42.68612217903137,1
43.18730878829956,0
43.688459157943726,1
44.189605474472046,0
44.69074749946594,1
45.191895484924316,0
45.693042039871216,1
46.19383478164673,0
46.69498586654663,1
47.19611477851868,0
47.69725060462952,1
48.19839286804199,0
48.69957685470581,1
49.20071244239807,0
49.701852321624756,1
50.203036069869995,0
50.70383095741272,1
51.20500993728638,0
51.7061448097229,1
52.20725059509277,0
52.70837688446045,1
53.209500789642334,0
53.71061611175537,1
54.21172833442688,0
54.71286201477051,1
55.21398186683655,0
55.7151095867157,1
56.216246128082275,0
56.71738648414612,1
57.2185332775116,0
57.71966767311096,1
58.22077226638794,0
58.721920013427734,1
59.223047733306885,0
59.72414755821228,1
60.225279092788696,0
60.726418018341064,1
61.227540254592896,0
61.72867178916931,1
62.22981286048889,0
62.73094177246094,1
63.23206806182861,0
63.73322081565857,1
64.23439407348633,0
64.73549580574036,1
65.23662114143372,0
65.73773550987244,1
66.23886203765869,0
66.74000716209412,1
67.2411298751831,0
67.74225950241089,1
68.24339580535889,0
68.7445878982544,1
69.24570870399475,0
69.74684715270996,1
70.24796032905579,0
70.74909543991089,1
71.25023198127747,0
71.75136590003967,1
72.25248074531555,0
72.75362300872803,1
73.25478506088257,0
73.75594091415405,1
74.2570743560791,0
74.7582139968872,1
75.25937676429749,0
75.76051545143127,1
76.26162576675415,0
76.76276230812073,1
77.26388955116272,0
77.76501202583313,1
78.26612901687622,0
78.76725816726685,1
79.26836347579956,0
79.76949000358582,1
80.27061700820923,0
80.77174711227417,1
81.27287983894348,0
81.77401757240295,1
82.27513122558594,0
82.7762701511383,1
83.27739834785461,0
83.77851986885071,1
84.27964782714844,0
84.78078055381775,1
85.2819082736969,0
85.78302502632141,1
86.28415584564209,0
86.78525948524475,1
87.2867603302002,0
87.78789639472961,1
88.28902912139893,0
88.79016542434692,1
89.29131555557251,0
89.79243206977844,1
90.29356336593628,0
90.79476547241211,1
91.29589247703552,0
91.7970290184021,1
92.29815697669983,0
92.79928207397461,1
93.30041122436523,0
93.80156302452087,1
94.3026762008667,0
94.80381679534912,1
95.3049545288086,0
95.80606722831726,1
96.30718851089478,0
96.8083267211914,1
97.30943632125854,0
97.81057929992676,1
98.31171131134033,0
98.8128411769867,1
99.31394267082214,0
99.81507205963135,1
100.31620454788208,0
100.81735467910767,1
101.31848645210266,0
101.81960272789001,1
102.32071590423584,0
102.82185673713684,1
103.32302618026733,0
103.82415771484375,1
104.32528829574585,0
104.82640361785889,1
105.32754182815552,0
105.82868337631226,1
106.32980847358704,0
106.83094716072083,1
107.33209109306335,0
107.83321213722229,1
108.33438515663147,0
108.83553552627563,1
109.33663749694824,0
109.83775854110718,1
110.33889651298523,0
110.840008020401,1
111.34114098548889,0
111.842289686203,1
112.3433997631073,0
112.84459042549133,1
113.34571552276611,0
113.84684419631958,1
114.34797096252441,0
114.8491141796112,1
115.35023784637451,0
115.85135984420776,1
116.35248160362244,0
116.85359120368958,1
117.35480213165283,0
117.8559296131134,1
118.35705995559692,0
118.85821151733398,1
119.35933375358582,0
119.86046481132507,1
120.36160182952881,0
120.86274838447571,1
121.3638641834259,0
121.8650131225586,1
122.36613869667053,0
122.86724948883057,1
123.36837124824524,0
123.86950302124023,1
124.37061524391174,0
124.87175798416138,1
125.3728985786438,0
125.87401843070984,1
126.37514424324036,0
126.87626910209656,1
127.37737989425659,0
127.87851095199585,1
128.37965440750122,0
128.88078784942627,1
129.38190340995789,0
129.88304233551025,1
130.3841531276703,0
130.88527417182922,1
131.3864028453827,0
131.8875288963318,1
132.38866186141968,0
132.8897979259491,1
133.3909091949463,0
133.8920476436615,1
134.39317774772644,0
134.8943808078766,1
135.3955361843109,0
135.89667201042175,1
136.3977816104889,0
136.89892292022705,1
137.40004444122314,0
137.90115022659302,1
138.40229487419128,0
138.90342926979065,1
139.4046242237091,0
139.90575122833252,1
140.4068763256073,0
140.9079840183258,1
