iteration,time,result
6793081,3600.064884662628,46145949472561
6793082,3600.065402984619,46145963058724
6793083,3600.065920352936,46145976644889
6793084,3600.066437959671,46145990231056
6793085,3600.0670461654663,46146003817225
6793086,3600.067596435547,46146017403396
6793087,3600.0681166648865,46146030989569
6793088,3600.068636417389,46146044575744
6793089,3600.069151878357,46146058161921
6793090,3600.0697119235992,46146071748100
6793091,3600.0702407360077,46146085334281
6793092,3600.0707564353943,46146098920464
6793093,3600.0712723731995,46146112506649
6793094,3600.0717890262604,46146126092836
6793095,3600.0723066329956,46146139679025
6793096,3600.0728228092194,46146153265216
6793097,3600.0733394622803,46146166851409
6793098,3600.0738546848297,46146180437604
6793099,3600.0743770599365,46146194023801
6793100,3600.0748987197876,46146207610000
6793101,3600.075417995453,46146221196201
6793102,3600.075939178467,46146234782404
6793103,3600.0764529705048,46146248368609
6793104,3600.077022075653,46146261954816
6793105,3600.0776057243347,46146275541025
6793106,3600.078157186508,46146289127236
6793107,3600.0786786079407,46146302713449
6793108,3600.0791959762573,46146316299664
6793109,3600.0797140598297,46146329885881
6793110,3600.0802335739136,46146343472100
6793111,3600.0807490348816,46146357058321
6793112,3600.0812661647797,46146370644544
6793113,3600.0817806720734,46146384230769
6793114,3600.0822994709015,46146397816996
6793115,3600.0828154087067,46146411403225
6793116,3600.083329677582,46146424989456
6793117,3600.08384680748,46146438575689
6793118,3600.0843658447266,46146452161924
6793119,3600.084888458252,46146465748161
6793120,3600.0854074954987,46146479334400
6793121,3600.0859730243683,46146492920641
6793122,3600.086500644684,46146506506884
6793123,3600.087109565735,46146520093129
6793124,3600.0876541137695,46146533679376
6793125,3600.0881752967834,46146547265625
6793126,3600.0886931419373,46146560851876
6793127,3600.0892090797424,46146574438129
6793128,3600.089726448059,46146588024384
6793129,3600.0902411937714,46146601610641
6793130,3600.090757369995,46146615196900
6793131,3600.0912737846375,46146628783161
6793132,3600.091791152954,46146642369424
6793133,3600.092309474945,46146655955689
6793134,3600.092828989029,46146669541956
6793135,3600.09334731102,46146683128225
6793136,3600.0939104557037,46146696714496
6793137,3600.0944344997406,46146710300769
6793138,3600.0949494838715,46146723887044
6793139,3600.0954682826996,46146737473321
6793140,3600.095987558365,46146751059600
6793141,3600.0965049266815,46146764645881
6793142,3600.097072124481,46146778232164
6793143,3600.097629070282,46146791818449
6793144,3600.098150253296,46146805404736
6793145,3600.0986659526825,46146818991025
6793146,3600.0991876125336,46146832577316
6793147,3600.099705219269,46146846163609
6793148,3600.100222349167,46146859749904
6793149,3600.100786447525,46146873336201
6793150,3600.1013112068176,46146886922500
6793151,3600.1018710136414,46146900508801
6793152,3600.1023967266083,46146914095104
6793153,3600.102916240692,46146927681409
6793154,3600.103436231613,46146941267716
6793155,3600.103955745697,46146954854025
6793156,3600.104475259781,46146968440336
6793157,3600.1050112247467,46146982026649
6793158,3600.105542421341,46146995612964
6793159,3600.1060588359833,46147009199281
6793160,3600.1065764427185,46147022785600
6793161,3600.1071984767914,46147036371921
6793162,3600.1077420711517,46147049958244
6793163,3600.1082599163055,46147063544569
6793164,3600.1087777614594,46147077130896
6793165,3600.1092948913574,46147090717225
6793166,3600.10986495018,46147104303556
6793167,3600.110391139984,46147117889889
6793168,3600.110961675644,46147131476224
6793169,3600.1114814281464,46147145062561
6793170,3600.1120018959045,46147158648900
6793171,3600.1125218868256,46147172235241
6793172,3600.1130430698395,46147185821584
6793173,3600.113560438156,46147199407929
6793174,3600.1140761375427,46147212994276
6793175,3600.114593029022,46147226580625
6793176,3600.1151065826416,46147240166976
6793177,3600.115622997284,46147253753329
6793178,3600.1161408424377,46147267339684
6793179,3600.1166586875916,46147280926041
6793180,3600.1172416210175,46147294512400
6793181,3600.1178460121155,46147308098761
6793182,3600.118376016617,46147321685124
6793183,3600.118896007538,46147335271489
6793184,3600.1194171905518,46147348857856
6793185,3600.119936943054,46147362444225
6793186,3600.120454788208,46147376030596
6793187,3600.1209728717804,46147389616969
6793188,3600.1214900016785,46147403203344
6793189,3600.1220071315765,46147416789721
6793190,3600.122524023056,46147430376100
6793191,3600.123040676117,46147443962481
6793192,3600.123560667038,46147457548864
6793193,3600.1240770816803,46147471135249
6793194,3600.1245954036713,46147484721636
6793195,3600.1251118183136,46147498308025
6793196,3600.125670671463,46147511894416
6793197,3600.12619805336,46147525480809
6793198,3600.1267170906067,46147539067204
6793199,3600.1273398399353,46147552653601
6793200,3600.1278805732727,46147566240000
6793201,3600.1283979415894,46147579826401
6793202,3600.1289145946503,46147593412804
6793203,3600.129435300827,46147606999209
6793204,3600.1299555301666,46147620585616
6793205,3600.1304745674133,46147634172025
6793206,3600.130992412567,46147647758436
6793207,3600.131506204605,46147661344849
6793208,3600.132022380829,46147674931264
6793209,3600.1325390338898,46147688517681
6793210,3600.1330564022064,46147702104100
6793211,3600.1336002349854,46147715690521
6793212,3600.1341428756714,46147729276944
6793213,3600.1346633434296,46147742863369
6793214,3600.135180711746,46147756449796
6793215,3600.1356961727142,46147770036225
6793216,3600.136210680008,46147783622656
6793217,3600.1367292404175,46147797209089
6793218,3600.137311935425,46147810795524
6793219,3600.137856245041,46147824381961
6793220,3600.138376712799,46147837968400
