iteration,time,result
0,0.0011935234069824219,0
1,0.001821279525756836,1
2,0.0023512840270996094,4
3,0.0028705596923828125,9
4,0.0033876895904541016,16
5,0.0039031505584716797,25
6,0.004494428634643555,36
7,0.005052804946899414,49
8,0.005583047866821289,64
9,0.006111860275268555,81
10,0.0066335201263427734,100
11,0.007156848907470703,121
12,0.007678508758544922,144
13,0.008200407028198242,169
14,0.008719444274902344,196
15,0.00923919677734375,225
16,0.009760379791259766,256
17,0.010280609130859375,289
18,0.010812997817993164,324
19,0.011334896087646484,361
20,0.0118560791015625,400
21,0.01237630844116211,441
22,0.012893199920654297,484
23,0.013415098190307617,529
24,0.013939857482910156,576
25,0.014780282974243164,625
26,0.015339374542236328,676
27,0.015862703323364258,729
28,0.01638340950012207,784
29,0.0169069766998291,841
30,0.017429590225219727,900
31,0.017953872680664062,961
32,0.01847362518310547,1024
33,0.018998384475708008,1089
34,0.019519567489624023,1156
35,0.020038366317749023,1225
36,0.020557641983032227,1296
37,0.02116990089416504,1369
38,0.021721601486206055,1444
39,0.022253990173339844,1521
40,0.022779226303100586,1600
41,0.023302316665649414,1681
42,0.023823261260986328,1764
43,0.024390459060668945,1849
44,0.024947404861450195,1936
45,0.025559663772583008,2025
46,0.0262296199798584,2116
47,0.027043819427490234,2209
48,0.027631282806396484,2304
49,0.02816319465637207,2401
50,0.028683900833129883,2500
51,0.02920699119567871,2601
52,0.02973341941833496,2704
53,0.030257463455200195,2809
54,0.030777692794799805,2916
55,0.03129935264587402,3025
56,0.03181743621826172,3136
57,0.03233933448791504,3249
58,0.03285956382751465,3364
59,0.03338503837585449,3481
60,0.033919572830200195,3600
61,0.034520864486694336,3721
62,0.03507208824157715,3844
63,0.03559708595275879,3969
64,0.036118507385253906,4096
65,0.03664350509643555,4225
66,0.03716397285461426,4356
67,0.03768658638000488,4489
68,0.03820919990539551,4624
69,0.038733482360839844,4761
70,0.039255380630493164,4900
71,0.0397796630859375,5041
72,0.04030323028564453,5184
73,0.040966033935546875,5329
74,0.0416874885559082,5476
75,0.0423121452331543,5625
76,0.04314136505126953,5776
77,0.043717145919799805,5929
78,0.04424023628234863,6084
79,0.04494619369506836,6241
80,0.04557013511657715,6400
81,0.04632258415222168,6561
82,0.04687786102294922,6724
83,0.04771900177001953,6889
84,0.048303842544555664,7056
85,0.04883265495300293,7225
86,0.04935288429260254,7396
87,0.04987382888793945,7569
88,0.05039644241333008,7744
89,0.05091428756713867,7921
90,0.05142974853515625,8100
91,0.05212211608886719,8281
92,0.05275845527648926,8464
93,0.05350828170776367,8649
94,0.05428457260131836,8836
95,0.05532670021057129,9025
96,0.05633115768432617,9216
97,0.05730271339416504,9409
98,0.058042049407958984,9604
99,0.058606863021850586,9801
100,0.059186697006225586,10000
101,0.05993032455444336,10201
102,0.060994625091552734,10404
103,0.06209373474121094,10609
104,0.06326746940612793,10816
105,0.06407833099365234,11025
106,0.06495285034179688,11236
107,0.06572771072387695,11449
108,0.06673192977905273,11664
109,0.06771636009216309,11881
110,0.06874608993530273,12100
111,0.06955170631408691,12321
112,0.07046723365783691,12544
113,0.0712897777557373,12769
114,0.0720663070678711,12996
115,0.07310009002685547,13225
116,0.07395434379577637,13456
117,0.0747075080871582,13689
118,0.07529354095458984,13924
119,0.07604598999023438,14161
120,0.07666873931884766,14400
121,0.07729864120483398,14641
122,0.07813191413879395,14884
123,0.07870936393737793,15129
124,0.07923245429992676,15376
125,0.07975101470947266,15625
126,0.08026838302612305,15876
127,0.08078670501708984,16129
128,0.08130550384521484,16384
129,0.08182311058044434,16641
130,0.08234190940856934,16900
131,0.08286142349243164,17161
132,0.08338165283203125,17424
133,0.08390116691589355,17689
134,0.08452796936035156,17956
135,0.08510446548461914,18225
136,0.08563852310180664,18496
137,0.08616232872009277,18769
138,0.08668112754821777,19044
139,0.08719635009765625,19321
140,0.08783435821533203,19600
141,0.08871889114379883,19881
142,0.08940434455871582,20164
143,0.0901634693145752,20449
144,0.09070372581481934,20736
145,0.09122586250305176,21025
146,0.0918271541595459,21316
147,0.09237813949584961,21609
148,0.09290266036987305,21904
149,0.09363532066345215,22201
150,0.0941934585571289,22500
151,0.094818115234375,22801
152,0.09536576271057129,23104
153,0.09588885307312012,23409
154,0.09640717506408691,23716
155,0.09692597389221191,24025
156,0.09744644165039062,24336
157,0.09796857833862305,24649
158,0.09848976135253906,24964
159,0.09900999069213867,25281
160,0.09952688217163086,25600
161,0.10004591941833496,25921
162,0.10056638717651367,26244
163,0.10108661651611328,26569
164,0.10161423683166504,26896
165,0.10213780403137207,27225
166,0.10265398025512695,27556
167,0.10317349433898926,27889
168,0.10369277000427246,28224
169,0.10421276092529297,28561
170,0.10483431816101074,28900
171,0.10537266731262207,29241
172,0.1058950424194336,29584
173,0.10641241073608398,29929
174,0.10693097114562988,30276
175,0.10745096206665039,30625
176,0.10796761512756348,30976
177,0.10848569869995117,31329
178,0.10900259017944336,31684
179,0.10952043533325195,32041
180,0.11004281044006348,32400
181,0.11056303977966309,32761
182,0.11121106147766113,33124
183,0.11204791069030762,33489
184,0.11262273788452148,33856
185,0.11314702033996582,34225
186,0.11366581916809082,34596
187,0.11418342590332031,34969
188,0.11478209495544434,35344
189,0.1154015064239502,35721
190,0.11594676971435547,36100
191,0.11647176742553711,36481
192,0.11699295043945312,36864
193,0.11751842498779297,37249
194,0.11804056167602539,37636
195,0.11856198310852051,38025
196,0.11908173561096191,38416
197,0.11960172653198242,38809
198,0.12011837959289551,39204
199,0.1206369400024414,39601
200,0.12115478515625,40000
